Ffurf safonol,Ffurf safonol arall ,Ffurf Saesneg,Cyfeirnod grid,Math (Cymraeg),Math (Saesneg),Awdurdod lleol (Cymraeg),Awdurdod lleol (Saesneg)
Eglwys y Drindod,,Christchurch,ST3489,Anheddiad,,Casnewydd,Newport
Eglwys-bach,,Eglwys-bach,SH8070,Anheddiad,,Conwy,Conwy
Eglwyseg,,Eglwyseg,SJ2147,Ardal,,Sir Ddinbych,Denbighshire
Eglwys-fach,,Eglwys-fach,SN6895,Anheddiad,,Ceredigion,Ceredigion
Eglwysilan,,Eglwysilan,ST1288,Anheddiad,,Caerffili,Caerphilly
Eglwyswrw,,Eglwyswrw,SN1438,Anheddiad,,Sir Benfro,Pembrokeshire
Einsiob,,Evenjobb,SO2662,Anheddiad,,Powys,Powys
Eisingrug,,Eisingrug,SH6134,Anheddiad,,Gwynedd,Gwynedd
Elim,,Elim,SH3584,Anheddiad,,Ynys Môn,Isle of Anglesey
Eneu'r-glyn,,Energlyn,ST1488,Anheddiad,,Caerffili,Caerphilly
Engedi,,Engedi,SH3676,Anheddiad,,Ynys Môn,Isle of Anglesey
Erbistog,,Erbistock,SJ3541,Anheddiad,,Wrecsam,Wrexham
Erddig,,Erddig,SJ3248,Ardal,,Wrecsam,Wrexham
Erwyd,,Erwood,SO0942,Anheddiad,,Powys,Powys
Eryrys,,Eryrys,SJ2057,Anheddiad,,Sir Ddinbych,Denbighshire
Esgair,,Esgair,SN3728,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Esgair Maen,,Esgair Maen,SN9978,Nodwedd tir,,Powys,Powys
Esgairdawe,,Esgairdawe,SN6140,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Esgairgeiliog,,Esgairgeiliog,SH7505,Anheddiad,,Powys,Powys
Esgyryn,,Esgyryn,SH8078,Anheddiad,,Conwy,Conwy
Eutun,,Eyton,SJ3345,Anheddiad,,Wrecsam,Wrexham
Evanstown,,Evanstown,SS9789,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Ewenni,,Ewenny,SS9077,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Ewloe,,Ewloe,SJ2966,Anheddiad,,Sir y Fflint,Flintshire
Ewloe Green,,Ewloe Green,SJ2866,Anheddiad,,Sir y Fflint,Flintshire
Fachelich,,Fachelich,SM7725,Anheddiad,,Sir Benfro,Pembrokeshire
"Fach-wen, Y",,"Fach-wen, Y",SH5761,Anheddiad,,Gwynedd,Gwynedd
Faenor,,Vaynor,SO0410,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Faerdre,,Vardre,SN6901,Anheddiad,,Abertawe,Swansea
Fagwyr,,Fagwyr,SN6702,Anheddiad,,Abertawe,Swansea
Fairbourne,,Fairbourne,SH6113,Anheddiad,,Gwynedd,Gwynedd
Fairfield,,Fairfield,SO2603,Anheddiad,,Torfaen,Torfaen
Fairwater,,Fairwater,ST2794,Anheddiad,,Torfaen,Torfaen
Fairwood,,Fairwood,SS5693,Ardal,,Abertawe,Swansea
"Fali, Y",,Valley,SH2979,Anheddiad,,Ynys Môn,Isle of Anglesey
"Fan, Y",,"Fan, Y",SN9487,Anheddiad,,Powys,Powys
"Fan, Y",,Van,ST1686,Anheddiad,,Caerffili,Caerphilly
"Farteg, Y",,Varteg,SO2605,Anheddiad,,Torfaen,Torfaen
Felin Crai,,Felin Crai,SN8823,Anheddiad,,Powys,Powys
Felindre,,Felindre,SN3538,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Felindre,,Felindre,SN6302,Anheddiad,,Abertawe,Swansea
Felindre,,Felindre,SN7027,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Felindre,,Felindre,SJ1601,Anheddiad,,Powys,Powys
Felindre,,Felindre,SN5521,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Felindre,,Felindre,SS7690,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Felindre Farchog,,Felindre Farchog,SN1039,Anheddiad,,Sir Benfro,Pembrokeshire
Felin-fach,,Felin-fach,SN5255,Anheddiad,,Ceredigion,Ceredigion
Felin-fach,,Felin-fach,SO0933,Anheddiad,,Powys,Powys
Felin-foel,,Felin-foel,SN5202,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Felinfrân,,Felinfrân,SS6998,Anheddiad,,Abertawe,Swansea
Felinganol,,Middle Mill,SM8025,Anheddiad,,Sir Benfro,Pembrokeshire
Felin-gwm Isaf,,Felin-gwm Isaf,SN5023,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Felin-gwm Uchaf,,Felin-gwm Uchaf,SN5024,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
"Felinheli, Y",,"Felinheli, Y",SH5267,Anheddiad,,Gwynedd,Gwynedd
Felin-hen,,Felin-hen,SH5868,Anheddiad,,Gwynedd,Gwynedd
Felin-newydd,,New Mills,SJ0901,Anheddiad,,Powys,Powys
Felin-wen,,Felin-wen,SN4621,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Felinwnda,,Felinwnda,SN3246,Anheddiad,,Ceredigion,Ceredigion
"Felin-wyllt, Y",,Wild Mill,SS9081,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Felin-wynt,,Felin-wynt,SN2250,Anheddiad,,Ceredigion,Ceredigion
"Fenni, Y",,Abergavenny,SO2914,Anheddiad,,Sir Fynwy,Monmouthshire
Fenns Bank,,Fenns Bank,SJ5039,Anheddiad,,Wrecsam,Wrexham
Fernlea,,Fernlea,ST2491,Anheddiad,,Caerffili,Caerphilly
"Ferwig, Y",,Y Ferwig,SN1849,Anheddiad,,Ceredigion,Ceredigion
Ffair-fach,,Ffair-fach,SN6221,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Ffair-rhos,,Ffair-rhos,SN7468,Anheddiad,,Ceredigion,Ceredigion
Ffaldybrenin,,Ffaldybrenin,SN6344,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Ffarmers,,Ffarmers,SN6544,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Ffawyddog,,Ffawyddog,SO2018,Anheddiad,,Powys,Powys
Fferws Hill,,Fferws Hill,SN6011,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
"Fflint, Y",,Flint,SJ2472,Anheddiad,,Sir y Fflint,Flintshire
Ffontygari,,Ffontygari,ST0566,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
"Ffôr, Y",,Y Ffôr,SH3938,Anheddiad,,Gwynedd,Gwynedd
Ffordd-las,,Ffordd-las,SO2038,Anheddiad,,Powys,Powys
Fforddygyfraith,,Fforddygyfraith,SS8684,,,Pen-y-bont ar Ogwr,Bridgend
Ffordun,,Forden,SJ2200,Anheddiad,,Powys,Powys
Fforest,,Fforest,SN5804,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Fforest Coalpit,,Fforest Coalpit,SO2820,Anheddiad,,Sir Fynwy,Monmouthshire
Fforest-fach,,Fforest-fach,SS6296,Anheddiad,,Abertawe,Swansea
Fforest-goch,,Fforest-goch,SN7401,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Ffostrasol,,Ffostrasol,SN3747,Anheddiad,,Ceredigion,Ceredigion
Ffos-y-ffin,,Ffos-y-ffin,SN4460,Anheddiad,,Ceredigion,Ceredigion
Ffos-y-frân,,Ffos-y-frân,SO0605,Ardal,,Merthyr Tudful,Merthyr Tydfil
Ffos-y-go,,Ffos-y-go,SJ3054,Anheddiad,,Wrecsam,Wrexham
Ffrith,,Ffrith,SJ2855,Anheddiad,,Sir y Fflint,Flintshire
Ffwl-y-mwn,,Fonmon,ST0467,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Ffwrnais,,Furnace,SN5001,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Ffynnon,,Ffynnon,SN3516,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Ffynnon Taf,,Taff's Well,ST1283,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Ffynnon-ddrain,,Ffynnon-ddrain,SN4021,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Ffynnon-groes,,Crosswell,SN1236,Anheddiad,,Sir Benfro,Pembrokeshire
Ffynnongroyw,,Ffynnongroyw,SJ1382,Anheddiad,,Sir y Fflint,Flintshire
Ffynnongynid,,Ffynnongynid,SO1641,Anheddiad,,Powys,Powys
Ffynnon-oer,,Ffynnon-oer,SN5353,Anheddiad,,Ceredigion,Ceredigion
Ffynonne,,Ffynonne,SS6493,Anheddiad,,Abertawe,Swansea
Five Lanes,,Five Lanes,ST4490,Anheddiad,,Sir Fynwy,Monmouthshire
Fochriw,,Fochriw,SO1005,Anheddiad,,Caerffili,Caerphilly
Foelgastell,,Foelgastell,SN5414,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Forge Hammer,,Forge Hammer,ST2995,Anheddiad,,Torfaen,Torfaen
Forgeside,,Forgeside,SO2408,Anheddiad,,Torfaen,Torfaen
Fountain,,Fountain,SS8883,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Four Crosses,,Four Crosses,SJ2553,Anheddiad,,Wrecsam,Wrexham
Freshwater East,,Freshwater East,SS0198,Anheddiad,,Sir Benfro,Pembrokeshire
Freystrop,,Freystrop,SM9511,Anheddiad,,Sir Benfro,Pembrokeshire
"Friog, Y",,Fairbourne,SH6112,Anheddiad,,Gwynedd,Gwynedd
Frochas,,Frochas,SJ2910,Anheddiad,,Powys,Powys
Fron,,Fron,SJ2952,Anheddiad,,Wrecsam,Wrexham
"Fron, Y",,"Fron, Y",SH5154,Anheddiad,,Gwynedd,Gwynedd
Fron Isaf,,Fron Isaf,SJ2740,Anheddiad,,Wrecsam,Wrexham
Fronbache,,Fronbache,SJ2141,Anheddiad,,Sir Ddinbych,Denbighshire
Froncysyllte,,Froncysyllte,SJ2741,Anheddiad,,Wrecsam,Wrexham
Fron-deg,,Fron-deg,SJ2749,Anheddiad,,Wrecsam,Wrexham
Fron-goch,,Fron-goch,SH9039,Anheddiad,,Gwynedd,Gwynedd
Gabalfa,,Gabalfa,ST1678,Anheddiad,,Caerdydd,Cardiff
Gadlys,,Gadlys,SJ2174,Anheddiad,,Sir y Fflint,Flintshire
"Gadlys, Y",,"Gadlys, Y",SN9902,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Gaer,,Gaer,ST2986,Anheddiad,,Casnewydd,Newport
Gaer-fawr,,Gaer-fawr,ST4498,Anheddiad,,Sir Fynwy,Monmouthshire
Gaer-lwyd,,Gaer-lwyd,ST4496,Anheddiad,,Sir Fynwy,Monmouthshire
Gaerwen,,Gaerwen,SH4871,Anheddiad,,Ynys Môn,Isle of Anglesey
Gallowsgreen,,Gallowsgreen,SO2606,Anheddiad,,Torfaen,Torfaen
Galltegfa,,Galltegfa,SJ1057,Anheddiad,,Sir Ddinbych,Denbighshire
Gallt-y-foel,,Gallt-y-foel,SH5862,Anheddiad,,Gwynedd,Gwynedd
Galon Uchaf,,Galon Uchaf,SO0508,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
"Ganllwyd, Y",,"Ganllwyd, Y",SH7224,Anheddiad,,Gwynedd,Gwynedd
Garden City,,Garden City,SO1607,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Garden City,,Garden City,SJ3269,Anheddiad,,Sir y Fflint,Flintshire
Pentre'r-ardd,,Garden Village,SS5997,Anheddiad,,Abertawe,Swansea
Garden Village,,Garden Village,SJ3352,Anheddiad,,Wrecsam,Wrexham
"Garn, Y",,Roch,SM8721,Anheddiad,,Sir Benfro,Pembrokeshire
"Garnant, Y",,"Garnant, Y",SN6813,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Garndiffaith,,Garndiffaith,SO2604,Anheddiad,,Torfaen,Torfaen
Garndolbenmaen,,Garndolbenmaen,SH4944,Anheddiad,,Gwynedd,Gwynedd
Garneddwen,,Garneddwen,SJ1770,Ardal,,Sir y Fflint,Flintshire
Garn-fach,,Garn-fach,SO1910,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Garnfadrun,,Garnfadrun,SH2834,Anheddiad,,Gwynedd,Gwynedd
Garnlydan,,Garnlydan,SO1612,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Garn-swllt,,Garn-swllt,SN6209,Anheddiad,,Abertawe,Swansea
Garnyrerw,,Garnyrerw,SO2310,Anheddiad,,Torfaen,Torfaen
Garreg,,Garreg,SJ1377,Anheddiad,,Sir y Fflint,Flintshire
Garreg,,Garreg,SH6141,Anheddiad,,Gwynedd,Gwynedd
Garth,,Garth,SH5873,Ardal,,Gwynedd,Gwynedd
Garth,,Garth,SS8690,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Garthbeibio,,Garthbeibio,SH9812,Anheddiad,,Powys,Powys
Garthbrengi,,Garthbrengi,SO0433,Anheddiad,,Powys,Powys
Gartheli,,Gartheli,SN5856,Anheddiad,,Ceredigion,Ceredigion
Garthmyl,,Garthmyl,SO1999,Anheddiad,,Powys,Powys
Gatlas,,Gatlas,ST3492,Anheddiad,,Casnewydd,Newport
Gegin,,Gegin,SJ2752,Anheddiad,,Wrecsam,Wrexham
Gell,,Gell,SH8469,Anheddiad,,Conwy,Conwy
Gelli,,Gelli,SN0819,Anheddiad,,Sir Benfro,Pembrokeshire
Gelli-aur,,Golden Grove,SN5819,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Gelli-deg,,Gelli-deg,SO0207,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Gellifedw,,Birchgrove,SS7098,Anheddiad,,Abertawe,Swansea
Gellifelen,,Gellifelen,SO2111,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Gellifor,,Gellifor,SJ1262,Anheddiad,,Sir Ddinbych,Denbighshire
Gelli-gaer,,Gelli-gaer,ST1396,Anheddiad,,Caerffili,Caerphilly
"Gelli Gandryll, Y",,Hay-on-Wye,SO2242,Anheddiad,,Powys,Powys
Gelli-groes,,Gelli-groes,ST1794,Anheddiad,,Caerffili,Caerphilly
Gelli-gron,,Gelli-gron,SN7104,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Gelli-haf,,Gelli-haf,ST1695,Anheddiad,,Caerffili,Caerphilly
Gellilydan,,Gellilydan,SH6839,Anheddiad,,Gwynedd,Gwynedd
Gelli-nudd,,Gelli-nudd,SN7304,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Gelli-wen,,Gelli-wen,SN2723,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Gendros,,Gendros,SS6395,Anheddiad,,Abertawe,Swansea
Georgetown,,Georgetown,SO1408,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Georgetown,,Georgetown,SO0406,Ardal,,Merthyr Tudful,Merthyr Tydfil
Gerlan,,Gerlan,SH6366,Anheddiad,,Gwynedd,Gwynedd
Geuffordd,,Geuffordd,SJ2114,Anheddiad,,Powys,Powys
Geufron,,Geufron,SN9968,Anheddiad,,Powys,Powys
Gignog,,Gignog,SM8824,Anheddiad,,Sir Benfro,Pembrokeshire
Gilfach,,Gilfach,ST1598,Anheddiad,,Caerffili,Caerphilly
Gilfach-goch,,Gilfach-goch,SS9889,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Gilfachreda,,Gilfachreda,SN4058,Anheddiad,,Ceredigion,Ceredigion
Gilwern,,Gilwern,SO2414,Anheddiad,,Blaenau Gwent,Blaenau Gwent
"Glais, Y",,"Glais, Y",SN7000,Anheddiad,,Abertawe,Swansea
Glan Dwyfach,,Glan Dwyfach,SH4843,Ardal,,Gwynedd,Gwynedd
Glanadda,,Glanadda,SH5770,Anheddiad,,Gwynedd,Gwynedd
Glanaman,,Glanaman,SN6713,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Glan-bad,,Upper Boat,ST1087,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Glanduar,,Glanduar,SN5243,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Glandŵr,,Glandŵr,SM9825,Anheddiad,,Sir Benfro,Pembrokeshire
Glandŵr,,Glandŵr,SN1928,Anheddiad,,Sir Benfro,Pembrokeshire
Glandŵr,,Glandŵr,SN2641,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Glandŵr,,Glandŵr,SO2001,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Glandŵr,,Landore,SS6595,Anheddiad,,Abertawe,Swansea
Glandy Cross,,Glandy Cross,SN1426,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Glandyfi,,Glandyfi,SN6996,Anheddiad,,Ceredigion,Ceredigion
Glangrwyne,,Glangrwyne,SO2416,Anheddiad,,Powys,Powys
Glangwili,,Glangwili,SN4322,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Glan-llyn,,Glan-llyn,ST1284,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Glan-miwl,,Glan-mule,SO1690,Anheddiad,,Powys,Powys
Glanmwrwg,,Glanmwrwg,SN5501,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Glanpwllafon,,Glanpwllafon,SN1743,Anheddiad,,Sir Benfro,Pembrokeshire
Glanrafon,,Glanrafon,SH6080,Anheddiad,,Ynys Môn,Isle of Anglesey
Glan-rhyd,,Glan-rhyd,SN1442,Anheddiad,,Sir Benfro,Pembrokeshire
Glan-rhyd,,Glan-rhyd,SN7709,Anheddiad,,Powys,Powys
Glantwymyn,,Cemaes Road,SH8204,Anheddiad,,Powys,Powys
Glan-wern,,Glan-wern,SN6188,Anheddiad,,Ceredigion,Ceredigion
Glanwydden,,Glanwydden,SH8180,Anheddiad,,Conwy,Conwy
Glan-y-don,,Glan-y-don,SJ1679,Anheddiad,,Sir y Fflint,Flintshire
Glanyfferi,,Ferryside,SN3610,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Glan-y-môr,,Glan-y-môr,SN3011,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Glan-y-nant,,Glan-y-nant,SN9384,Anheddiad,,Powys,Powys
Glan-y-nant,,Glan-y-nant,ST1497,Anheddiad,,Caerffili,Caerphilly
Glan-y-pwll,,Glan-y-pwll,SH6946,Anheddiad,,Gwynedd,Gwynedd
Glanyrafon,,Glanyrafon,SJ1181,Ardal,,Sir y Fflint,Flintshire
Glanyrafon,,Glanyrafon,SN6180,Anheddiad,,Ceredigion,Ceredigion
Glanyrafon,,Glanyrafon,SJ0242,Anheddiad,,Gwynedd,Gwynedd
Glanyrafon,,Riverside,ST1776,Anheddiad,,Caerdydd,Cardiff
Glan-y-wern,,Glan-y-wern,SH6034,Anheddiad,,Gwynedd,Gwynedd
Glasbwll,,Glasbwll,SN7397,Anheddiad,,Powys,Powys
Glasdir,,Glasdir,SJ1282,Anheddiad,,Sir y Fflint,Flintshire
Glasfryn,,Glasfryn,SH9150,Anheddiad,,Conwy,Conwy
Glasgoed,,Glasgoed,SH9973,Anheddiad,,Sir Ddinbych,Denbighshire
Glasgoed,,Glasgoed,SJ2754,Anheddiad,,Wrecsam,Wrexham
Glasgoed,,Glasgoed,SO3301,Ardal,,Sir Fynwy,Monmouthshire
Glasgwm,,Glasgwm,SO1553,Anheddiad,,Powys,Powys
Glasinfryn,,Glasinfryn,SH5868,Anheddiad,,Gwynedd,Gwynedd
Gleiniant,,Gleiniant,SN9791,Anheddiad,,Powys,Powys
Glenowen,,Glenowen,SM9505,Anheddiad,,Sir Benfro,Pembrokeshire
"Glog, Y",,"Glog, Y",SN2132,Ardal,,Sir Benfro,Pembrokeshire
Glyn Garth,,Glyn Garth,SH5773,Ardal,,Ynys Môn,Isle of Anglesey
Glyn Mil,,Glyn Mil,SO0504,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Glyn Nant-y-glo,,Coalbrookvale,SO1909,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Glynarthen,,Glynarthen,SN3148,Anheddiad,,Ceredigion,Ceredigion
Glynceiriog,,Glynceiriog,SJ2038,Anheddiad,,Wrecsam,Wrexham
Glyn-coch,,Glyn-coch,ST0792,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Glyn-coed,,Glyn-coed,SO1610,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Glyncorrwg,,Glyncorrwg,SS8799,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Glyndyfrdwy,,Glyndyfrdwy,SJ1442,Anheddiad,,Sir Ddinbych,Denbighshire
Glynebwy,,Ebbw Vale,SO1609,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Glyn-gaer,,Glyn-gaer,ST1497,Anheddiad,,Caerffili,Caerphilly
Glyn-hir,,Glyn-hir,SN5904,Ardal,,Abertawe,Swansea
Glyn-llan,,Glyn-llan,SS9487,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Glynllifon,,Glynllifon,SH4555,Nodwedd o waith dyn,,Gwynedd,Gwynedd
Glyn-nedd,,Glynneath,SN8706,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Glynogwr,,Glynogwr,SS9587,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Glynrhedynog,,Ferndale,SS9996,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Glyn-taf,,Glyn-taf,ST0889,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Glyntawe,,Glyntawe,SN8416,Anheddiad,,Powys,Powys
Glyn-teg,,Glyn-teg,SN3637,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Glyntraean,,Glyntraean,SJ2235,Cymuned,,Wrecsam,Wrexham
Godreaman,,Godreaman,SO0100,Ardal,,Rhondda Cynon Taf,Rhondda Cynon Taf
Godre'r-graig,,Godre'r-graig,SN7506,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Goetre,,Goetre,SO3206,Anheddiad,,Sir Fynwy,Monmouthshire
Goetre,,Goetre,SS7889,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Goetre,,Goetre,SS6093,Ardal,,Abertawe,Swansea
Goetre-hen,,Coytrahen,SS8985,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Gofilon,,Gofilon,SO2613,Anheddiad,,Sir Fynwy,Monmouthshire
Goginan,,Goginan,SN6881,Anheddiad,,Ceredigion,Ceredigion
Gogledd Corneli,,North Cornelly,SS8181,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Golan,,Golan,SH5242,Anheddiad,,Gwynedd,Gwynedd
Golch,,Golch,SJ1676,Anheddiad,,Sir y Fflint,Flintshire
Gold Tops,,Gold Tops,ST3088,Anheddiad,,Casnewydd,Newport
Golftyn,,Golftyn,SJ2870,Anheddiad,,Sir y Fflint,Flintshire
Golly,,Golly,SJ3358,Anheddiad,,Wrecsam,Wrexham
Golynos,,Golynos,SO2504,Anheddiad,,Torfaen,Torfaen
Gorllewin Aberddawan,,West Aberthaw,ST0266,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Gorrig,,Gorrig,SN4042,Anheddiad,,Ceredigion,Ceredigion
Gorsedd,,Gorsedd,SJ1576,Anheddiad,,Sir y Fflint,Flintshire
Gorseinon,,Gorseinon,SS5898,Anheddiad,,Abertawe,Swansea
Gors-goch,,Gors-goch,SN4850,Anheddiad,,Ceredigion,Ceredigion
Gors-goch,,Gors-goch,SN5713,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Gors-las,,Gors-las,SN5713,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Graianrhyd,,Graianrhyd,SJ2156,Anheddiad,,Sir Ddinbych,Denbighshire
Graig,,Graig,SH8071,Anheddiad,,Conwy,Conwy
Graig,,Graig,ST0689,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
"Graig, Y",,"Graig, Y",SN4401,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
"Graig, Y",,"Rock, The",ST1798,Anheddiad,,Caerffili,Caerphilly
Graigfechan,,Graigfechan,SJ1454,Anheddiad,,Sir Ddinbych,Denbighshire
Graigfelen,,Graigfelen,SN6801,Anheddiad,,Abertawe,Swansea
Graigtrewyddfa,,Graigtrewyddfa,SS6697,Anheddiad,,Abertawe,Swansea
Graig-wen,,Graig-wen,ST0690,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Graig-y-rhaca,,Graig-y-rhaca,ST1989,Anheddiad,,Caerffili,Caerphilly
Grangetown,,Grangetown,ST1774,Anheddiad,,Caerdydd,Cardiff
Great Honeyborough,,Great Honeyborough,SM9605,Anheddiad,,Sir Benfro,Pembrokeshire
Great Oak,,Great Oak,SO3809,Anheddiad,,Sir Fynwy,Monmouthshire
Green,,Green,SJ0568,Anheddiad,,Sir Ddinbych,Denbighshire
Greenmeadow,,Greenmeadow,ST2795,Anheddiad,,Torfaen,Torfaen
Gresffordd,,Gresford,SJ3554,Anheddiad,,Wrecsam,Wrexham
Griffithstown,,Griffithstown,ST2999,Anheddiad,,Torfaen,Torfaen
"Groes, Y",,Crossgates,SO0864,Anheddiad,,Powys,Powys
"Groes-faen, Y ",,"Groes-faen, Y ",ST0681,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Groes-faen,,Groes-faen,SO1300,Anheddiad,,Caerffili,Caerphilly
Groesffordd,,Groesffordd,SH2739,Anheddiad,,Gwynedd,Gwynedd
Groesffordd,,Groesffordd,SH7775,Anheddiad,,Conwy,Conwy
Groesffordd,,Groesffordd,SO0728,Anheddiad,,Powys,Powys
Groesffordd,,Groesffordd,SN4041,Anheddiad,,Ceredigion,Ceredigion
Groesffordd Marli,,Groesffordd Marli,SJ0073,Anheddiad,,Sir Ddinbych,Denbighshire
"Groeslon, Y",,"Groeslon, Y",SH4755,Anheddiad,,Gwynedd,Gwynedd
Groes-lwyd,,Groes-lwyd,SJ2111,Anheddiad,,Powys,Powys
Groes-lwyd,,Groes-lwyd,SO3222,Anheddiad,,Sir Fynwy,Monmouthshire
Groespluen,,Groespluen,SJ2108,Anheddiad,,Powys,Powys
Groes-wen,,Groes-wen,ST1286,Anheddiad,,Caerffili,Caerphilly
Grofield,,Grofield,SO2914,Anheddiad,,Sir Fynwy,Monmouthshire
Gronant,,Gronant,SJ0983,Anheddiad,,Sir y Fflint,Flintshire
"Grysmwnt, Y",,Grosmont,SO4024,Anheddiad,,Sir Fynwy,Monmouthshire
Guilford,,Guilford,SM9909,Anheddiad,,Sir Benfro,Pembrokeshire
Gumfreston,,Gumfreston,SN1001,Anheddiad,,Sir Benfro,Pembrokeshire
Gurnos,,Gurnos,SN7709,Anheddiad,,Powys,Powys
Gurnos,,Gurnos,SO0407,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Gwaeddel,,Weythel,SO2357,Anheddiad,,Powys,Powys
Gwaelod-y-garth,,Gwaelod-y-garth,ST1183,Anheddiad,,Caerdydd,Cardiff
Gwalchmai,,Gwalchmai,SH3975,Anheddiad,,Ynys Môn,Isle of Anglesey
Gwalchmai Uchaf,,Gwalchmai Uchaf,SH3975,Anheddiad,,Ynys Môn,Isle of Anglesey
Gwastad,,Gwastad,SN0424,Anheddiad,,Sir Benfro,Pembrokeshire
Gwastadnant,,Gwastadnant,SH6157,Anheddiad,,Gwynedd,Gwynedd
Gwastadros,,Gwastadros,SH8835,Ardal,,Gwynedd,Gwynedd
Gwauncaegurwen,,Gwauncaegurwen,SN7011,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Gwaunleision,,Gwaunleision,SN7012,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Gwaunysgor,,Gwaunysgor,SJ0781,Anheddiad,,Sir y Fflint,Flintshire
